Name, Region, Type, Ownership, Location, Services, NHIS accredited
POASE CEMENT HEALTH CENTER,Volta Region,Health Centre,overnment,POASE CEMENT,General,yes
PODOE HEALTH CENTER,Volta Region,Health Centre,overnment,PODOE,General,yes
ROCK OF ESCAPE CHEMICAL SHOP,Volta Region,Chemical Shop,rivate,DAMBAI JUNCTION,Pharmacy,yes
RYTE AID PHARMACY,Volta Region,Pharmacy,rivate,HNO. BE 11//117 HOUSING ROAD   HO,Pharmacy,yes
SACRED HEART HOSPITAL,Volta Region,Primary Hospital,ission,ON THE ABOR ANYAKU MAIN ROAD,General,yes
SALEM MATERNITY HOME,Volta Region,Maternity Home,rivate,OPP KAIRA JSS SCHOOL COMPOUND,Antenatal  Post-natal,yes
SALIFU CHPS,Volta Region,CHPS Compound,overnment,SALIFU,General,yes
SALVATION ARMY HEALTH CENTRE-ADAKLU,Volta Region,health centre,ission,ADAKLU-SOSA,General,yes
SANTROKOFI HEALTH CENTER,Volta Region,Health Centre,overnment,SANTROKOFI-BUME,General,yes
SASIEME CHPS ZONE,Volta Region,CHPS Compound,overnment,ABOR SASIEME ROAD,General,yes
SAVIEKPE AGORKPO CHPS,,CHPS Compound,overnment,OPP THE MARKET  BOX HP 118,General,yes
SEBATOS PHARMACY,Volta Region,Pharmacy,rivate,ADJACENT GCB KPANDO,Pharmacy,yes
SECURE PHARMACY,Volta Region,Pharmacy,rivate,HOSPITAL ROAD,Pharmacy,yes
SEFE CLINIC,Volta Region,Clinic,rivate,BEHIND MAGAVA HOTEL,General,yes
SHIA HEALTH CENTRE,,Health Centre,overnment,ON NYIVE ROAD  BOX HP 121,General,yes
SIBI CENTRAL CHPS ZONE,Volta Region,CHPS Compound,overnment,SIBI Central,General,yes
SIBI HILL TOP CHPS ZONE,Volta Region,CHPS Compound,overnment,SIBI HILL TOP,General,yes
SIR JOHN WILSON VISON OPTICAL CENTER,Volta Region,EYE Clinic (OPTICAL),rivate,,Eye care,yes
SOGAKOPE DISTRICT HOSPITAL,Volta Region,Primary Hospital,overnment,ALONG TEMA-AFLAO ROAD,General,yes
ST ANTHONYS HOSPITAL,Volta Region,Primary Hospital,ission,AFLAO-HO ROAD,General,yes
ST FRANCIS KOFI BISSAH CHEMICAL SHOP,Volta Region,Chemical Shop,rivate,MARKET,Pharmacy,yes
ST JOSEPH HOSPITAL,Volta Region,Primary Hospital,ission,NKWANTA,General,yes
ST LUKES CLINIC,Volta Region,Clinic,rivate,CHINDERI BORAE ROAD,General,yes
ST PATRICKS HOSPITAL,Volta Region,Primary Hospital,rivate,KPANDO,General,yes
ST PAULS HOSPITAL FOR THE HANDICAPPED,Volta Region,Primary Hospital,rivate,OPPOSITE AKATSI TRAINING COLLEGE,General,yes
TAFI AGOME CHPS,,CHPS Compound,overnment,HOHOE - HAVE ROAD  C/O GHS BOX 27,General,yes
TAFI-AGOME HEALTH CENTER,Volta Region,Health Centre,overnment,TAFI AGOME,General,yes
TAKLA CHPS ZONE,,CHPS Compound,overnment,BARRACKS NEW TOWN RAOD  BOX HP 118,General,yes
TANYIGBE HEALTH CENTRE,,Health Centre,overnment,ON HO NYIVE ROAD  BOX HP 118,General,yes
TAVIAFE HEALTH CENTRE,,Health Centre,overnment,ON KPEDZE VANE ROAD  BOX HP 118,General,yes
TEGBI HEALTH CENTRE,Volta Region,Health Centre,overnment,AKLAMATSI ROAD,General,yes
TOKOKOE HEALTH CENTRE,,Health Centre,overnment,TOKOKOE  BOX HP 118,General,yes
TOKUROANO HEALTH CENTRE,Volta Region,Health Centre,overnment,TOKUROANU,General,yes
TONGOR TSANAKPE HEALTH CENTER,Volta Region,Health Centre,overnment,TONGOR TSANAKPE,General,yes
TOPVIEW DIAGNOSTIC CENTER,Volta Region,Diagnostic Centre,rivate,MAIN HO-AFLAO ROAD 100 METRES FROM COCA-COLA,Diagnostic,yes
TORGOME HEALTH CENTER,Volta Region,Health Centre,overnment,TORGOME,General,yes
TREGUI HEALTH CENTRE,Volta Region,Health Centre,overnment,TREGUI,General,yes
TRUTH PHARMACY,Volta Region,Pharmacy,rivate,ASATO ROAD NEAR LORRY PARK,Pharmacy,yes
TSATEE CHPS ZONE,Volta Region,CHPS Compound,overnment,TSATEE,General,yes
TSIBU CHPS,,CHPS Compound,overnment,ON KPEVE ROAD  BOX HP 119,General,yes
TSITO HEALTH CENTRE,,Health Centre,overnment,OPPTSITO SNR HIGH SCH  BOX HP 118,General,yes
TSIYINU CHPS ZONE,Volta Region,CHPS Compound,overnment,TSIYINU,General,yes
TUBLUKORPE CHPS,,CHPS Compound,overnment,AFLAO HO ROAD  C/O DHD BOX 126  AFLAO,General,yes
TUTUKPENE HEALTH CENTER,Volta Region,Health Centre,overnment,TUTUKPENE,General,yes
VANE HEALTH CENTRE,,Health Centre,overnment,ON DZOLOKPUITA ROAD  BOX HP 118,General,yes
VE KOLOENU CHPS,,CHPS Compound,overnment,HOHOE  C/O GHS BOX 27,General,yes
VE-GHAD HEALTH CENTER,Volta Region,Health Centre,overnment,VE-HOEME,General,yes
VE-GOLOKWATI HEALTH CENTRE,Volta Region,Health Centre,overnment,VE-GOLOKWATI,General,yes
VICTORIOUS MOUNT ZION PHARMACY,Volta Region,Pharmacy,rivate,AFEDE STREET HO-BANKOE,Pharmacy,yes
VOLO HEALTH CENTRE,Volta Region,Health Centre,overnment,VOLO,General,yes
WAYA HEALTH CENTRE,Volta Region,health centre,overnment,ADAKLU-WAYA,General,yes
WEGBE KPALIME HEALTH CENTER,Volta Region,Health Centre,overnment,WEGBE KPALIME,General,yes
WLI CENTRAL HEALTH CENTER,Volta Region,Health Centre,overnment,WLI Central,General,yes
WORAWORA HOSPITAL,Volta Region,Primary Hospital,overnment,WORAWORA,General,yes
WORKPOE CHPS,Volta Region,CHPS Compound,overnment,WORKPOE,General,yes
WUDZEDEKE CHPS,Volta Region,chps compound,overnment,WUDZEDEKE,General,yes
WULE HEALTH CENTER,Volta Region,Health Centre,overnment,WULE,General,yes
ZIAVI CHPS,,CHPS Compound,overnment,BETWEEN ZIAVI DZOGBE - LUME  BOX HP 121,General,yes
ZIOPE HEALTH CENTRE,Volta Region,health centre,overnment,HO-AFLAO ROAD,General,yes
2 MEDICAL RECEPTION STATION,Western Region,Clinic,overnment,MYOHAUNG BARRACKS  2MRS  2BN  MYOHAUNG BARRACKS  TARKORADI,General,yes
A A A MENS PHARMACY,Western Region,Pharmacy,rivate,MARKET CIRCLE  TAKORADI,Pharmacy,yes
A B BOKAZO COMMUNITY CLINIC,Western Region,Clinic,rivate,MAIN STREET  AFTER THE OLD CEMETARY P.O.BOX 12 ANYINASE,General,yes
ABIYE GODS GRACE MATERNITY HOME,Western Region,Maternity Home,rivate,KWESIMINTSIM,Antenatal  Post-natal,yes
ABOAGYEKROM CHPS ZONE,Western Region,CHPS Compound,overnment,ABOAGYEKROM  P.O.BOX 7  WIAWSO,General,yes
ABODUABO CHPS COMPOUND,Western Region,CHPS Compound,overnment,P.O.BOX 108 SEFWI ABODUABO,General,yes
ABOSO HEALTH CENTER,,Health Centre,overnment,ABOSO  BOX 45,General,yes
ABOTAREYIE-ESSUMAN CHPS COMPOUND,,CHPS Compound,overnment,ABOTAREYIE/ESSUMANKROM  BOX 37  SHAMA,General,yes
ABRABRA CHPS ZONE,Western Region,CHPS Compound,overnment,ABRABRA P.O.BOX 7  WIAWSO,General,yes
ABROKYIRE KROBO CHPS COMPOUND,Western Region,CHPS Compound,overnment,ABROKYIRE KROBO BOX 51  WASSA AKROPONG,General,yes
ABRONEHIA CHPS COMPOUND,Western Region,CHPS Compound,overnment,ABORONEHIA,General,yes
ABURA HEALTH CENTRE,Western Region,Health Centre,overnment,P.O.BOX 49  DHA  ABURA,General,yes
ACHIMFO HEALTH CENTRE,,Health Centre,overnment,ACHIMFO C/O BOX 66,General,yes
ACKAAKROM CHPS ZONE,Western Region,CHPS Compound,overnment,BOX 7 AKONTOMBRA,General,yes
ACLE PHARMACY,Western Region,Pharmacy,rivate,NFAK KAIAWONONU RD  FIJAI Clinic  P.O. BOX 1023 TAKORADI HARBOUR,Pharmacy,yes
ADABOKROM CHPS ZONE,Western Region,CHPS Compound,overnment,ADABOKROM  C/O DHA  ESSAM,General,yes
ADANSI COMUNITY CLINIC,Western Region,Health Centre,overnment,C/O P.O.BOX 48  DABOASE,General,yes
ADIENTEM /MPATADO CHPS COMPOUND,Western Region,CHPS Compound,overnment,ADIENTEM  C/O BOX 187  GHS  SEKONDI,General,yes
ADUM BANSO COMMUNITY CLINIC,Western Region,Health Centre,overnment,ADUM BANSO C/O P.O.BOX 48  DABOASE,General,yes
ADUM BANSO COMMUNITY CLINIC,,Health Centre,overnment,,General,yes
AFRANSIE HEALTH CENTRE,,Health Centre,overnment,AFRANSIE  BOX 51,General,yes
AGONA AMENFI CLINIC,Western Region,Health Centre,overnment,ADJAKAAMANSO STREET  C/O P.O. BOX 112  AGONA AMENFI,General,yes
AGONA HEALTH CENTRE,Western Region,Health Centre,overnment,BOX 49 AGNA-NKWANTA,General,yes
AGYEMADIEM CHPS ZONE,Western Region,CHPS Compound,overnment,J.J. NKWANTA  BOX 5 JUABOSO,General,yes
AHANTA ABASA CHPS COMPOUND,Western Region,CHPS Compound,overnment,C/O BOX 187 GHS SEKONDI,General,yes
AHIBENSO RURAL CLINIC,Western Region,Health Centre,overnment,AHIBENSO  BOX 5 JURABOSO,General,yes
AHMADIYYA MUSLIM MISSION HOSPITAL,Western Region,Primary Hospital,ission,AHMADIYYA HOSPITAL COMPOUND  P.O.BOX 31 DABOASE,General,yes
AHOBRASEE YE CHEMICAL SHOP,Western Region,chemical shop,rivate,ALLUBULU JUNCTION  ENCHICO ROAD  P.O.BOX 72  ENCHI,Pharmacy,yes
AHOBRE CHPS COMPOUND,Western Region,CHPS Compound,overnment,Box 96  Half Assini,General,yes
AHUKWA CHPS,,CHPS Compound,overnment,AHUKWA  P. O. BOX 7,General,yes
AHWIAA CHPS,,CHPS Compound,overnment,ANHWIAA  BOX 7,General,yes
AJAKAA MANSO HEALTH CENTRE,Western Region,Health Centre,overnment,Adjakaa MansoC/o Ghana Health service  P O Box 112 Asankrangwa,General,yes
AJAKAA MANSO HEALTH CENTRE,,Health Centre,overnment,,General,yes
AKADI MEDICAL LABORATORY,Western Region,Laboratory,rivate,AKAATISO ROAD  ESSAM GOVT HOSPITAL P.M.G BIA ,Laboratory,yes
AKETENKYE CHPS COMPOUND,,CHPS Compound,overnment,AKENTENKYE  BOX 7,General,yes
AKONTOMBRA HEALTH CENTER,Western Region,Health Centre,overnment,P.O. BOX 7 AKONTOMBRA,General,yes
AKONTOMBRA NKWANTA HEALTH CENTRE,,Health Centre,overnment,ALONG MAIN ENCHI-DADIESO ROAD  C/O DHD BOX 66 ENCHI,General,yes
AKURAFU CHPS ZONE,Western Region,CHPS Compound,overnment,AKURAFU  P.O.BOX 7 WIAWSO,General,yes
AKUTUASI COMMUNITY CLINIC,Western Region,Health Centre,overnment,C/O/ BOX 48 DABOASE,General,yes
AKWIDAA CHPS COMPOUND,Western Region,CHPS Compound,overnment,P.O.BOX 49  DHA  AKWIDAA,General,yes
AKYEKYERE CHPS,Western Region,CHPS Compound,overnment,AKYEKYERE COMMUNITY  P.O.BOX 36-ASANKRAGWA,General,yes
ALFDAD PHARMACY,Western Region,Pharmacy,rivate,PLOT B4 EAST CHAPEL HILL  LEBERATION ROAD  P.O. BOX MC 330  TAKORADI,Pharmacy,yes
AMA DANSOWAA MATERNITY HOME,Western Region,Maternity Home,rivate,BOX 84  DADIESO,Antenatal  Post-natal,yes
AMAFIE CHPS ZONE,Western Region,CHPS Compound,overnment,AMAFIE  P.O. BOX 7 WIAWSO,General,yes
AMI MEMORIAL CLINIC,Western Region,Primary Hospital,rivate,BOX 101-BIBIANI,General,yes
AMOASHED CHPS COMPOUND,Western Region,CHPS Compound,overnment,AMOASHED-AKAATISO  C/O DHA  BOX 29  ESSAM,General,yes
AMOAYA HEALTH CENTRE,Western Region,Health Centre,overnment,P O Box 5  Juaboso,General,yes
AMOAYA RURAL CLINIC,Western Region,CHPS Compound,overnment,AMOAYA  BOX 5 JUABOSO,General,yes
ANAJI CHPS COMPOUND,Western Region,CHPS Compound,overnment,ANAJI-FIE MAIN ROAD  BOX 187  SEKONDI,General,yes
ANAKUM CHPS COMPOUND,Western Region,CHPS Compound,overnment,ANAKUM,General,yes
ANDREW NTODI CHEMICAL SHOP,Western Region,Chemical Shop,rivate,AS3/A/45  AKROMANJO STREET P.O.BOX 16  ASANKRAGWA,Pharmacy,yes
ANGEL MEMORIAL CATHOLIC CLINIC,Western Region,Health Centre,ission,EKOKONU-STREET  BOX 14  ESIAMA,General,yes
ANHWIAFUTU CHPS COMPOUND,Western Region,CHPS Compound,overnment,BOX 7  SEFWI AKONTOMBRA,General,yes
ANHWIAM CHPS COMPOUND,,CHPS Compound,overnment,ANHWIAM  BOX 7,General,yes
ANHWIASO HEALTH CENTRE,Western Region,Health Centre,overnment,P.O.BOX 108  SEFWI ANHWIASO,General,yes
ANINFULKROM CHPS,Western Region,CHPS Compound,overnment,AHINFULKROM C/O DHA EAASA,General,yes
ANLO BEACH CHPS COMPOUND,,CHPS Compound,overnment,ANLO BEACH  BOX 37  SHAMA,General,yes
ANNA'S MATERNITY HOME,Western Region,Maternity Home,rivate,ANWEAFUTU BENIND CAC CHURCH  P.O. BOX 5 JUABOSO,Antenatal  Post-natal,yes
ANWEAFUTU CHPS COMPOUND,Western Region,CHPS Compound,overnment,Box 96  Half Assini,General,yes
ANYINABIREM HEALTH CENTER,Western Region,Health Centre,overnment,ANYINABRIM  P.O.BOX 7  WIAWSO,General,yes
ANYINABRIM CHPS,Western Region,CHPS Compound,overnment,OFF AKYEKYERE  C/O DHA BOX 112  ANYINABRIM,General,yes
ANYINABRIM CHPS,,CHPS Compound,overnment,,General,yes
ANYINASE HEALTH CENTER,Western Region,Health Centre,overnment,C/O BOX 14 Ellembele WR,General,yes
APAMSEEFUO CHEMICAL SHOP,Western Region,Chemical Shop,rivate,ZAKARIA AHMED,Pharmacy,yes
APOWA HEALTH CENTRE,Western Region,Health Centre,overnment,OPPOSITE GLED ACADEMY/OPHANAGE HOME  APOWA  C/O DHA BOX 49  AGONA NKWANTA,General,yes
APOWA INDUSTRIAL MEDICAL GROUP CLINIC,,Clinic,rivate,NEW AMANFUL KUMA ROAD  BOX 7,General,yes
APPIAH-NKWANTA CHPS ZONE,Western Region,CHPS Compound,overnment,APPIANKWANTA  BOX 51  WASSA AKROPONG,General,yes
APREMDU CHPS COMPOUND,Western Region,CHPS Compound,overnment,APREMDU INSIDE  C/O BOX 187 GHS SEKONDI,General,yes
APRUTU CHPS ZONE,Western Region,CHPS Compound,overnment,BOX 7  SEFWI AKONTOMBRA,General,yes
AQUAI ALLAH CHPS COMPOUND,,CHPS Compound,overnment,AQUAI ALLAH  C/O BOX 66 ENCHI,General,yes
ARHINFULKROM CHPS ZONE,Western Region,CHPS Compound,overnment,ARHINFULKROM  C/O DHD  ESSAM,General,yes
ASANKRA CHPS,Western Region,Health Centre,overnment,MOSEASO ROAD  P.O.BOX 112 ASANKRAGWA,General,yes
ASANKRAN BREMANG HEALTH CENTER,Western Region,Health Centre,overnment,ASANKRAN BREMAN ROAD  P.O.BOX 112 ASANKRAGWA,General,yes
ASANTEKROM CHPS,Western Region,CHPS Compound,overnment,BOX 7  SEFWI AKONTOMBRA,General,yes
ASASETRE COMMUNITY CLINIC,Western Region,Health Centre,overnment,ASASETRE  C/O DHA  NKROFUL,General,yes
ASAWINSO CLINIC,Western Region,Health Centre,overnment,P.O.BOX 108  SEFWI ASAWINSO,General,yes
ASEDA SPECIALST CLINIC,Western Region,Clinic,rivate,Bogoso Central H27  C/O BOX 623 TARKWA,General,yes
ASEMASA CHPS COMPOUND,Western Region,CHPS Compound,overnment,BOX 19  DHA  ASEMASA,General,yes
ASEMNYINAKROM CHPS COMPOUND,Western Region,CHPS Compound,overnment,ASEMNYINAKROM  C/O DHA  ESSAM,General,yes
ASEMPANEYE CHPS ZONE,Western Region,CHPS Compound,overnment,ASEMPANEYE  BOX 5 JUABOSO,General,yes
ASEREWADI CHPS,Western Region,CHPS Compound,overnment,ASEREWADI  P.O.BOX 51 WASSA AKROPONG,General,yes
ASESANSU CHPS COMPOUND,Western Region,CHPS Compound,overnment,ASESANSU  BOX 51 WASSA AKROPONG,General,yes
ASHIEM CHPS COMPOUND,Western Region,CHPS Compound,overnment,BOX 108-BIBIANI,General,yes
ASSAKAE CHPS COMPOUND,Western Region,CHPS Compound,overnment,ASSANKAE MARKET  C/O BOX 187  GHS SEKONDI,General,yes
ASUAMPA CHPS COMPOUND,Western Region,CHPS Compound,overnment,ASUAMPA,General,yes
ASUNDUA CHPS ZONE,Western Region,CHPS Compound,overnment,ASUNDUABOX 51  WASSA AKROPONG,General,yes
ASYA CLINIC AND MEDICAL LABORATORY LTD,,Diagnostic Centre,rivate,BOGOSO PRESTEA  BOX 85,Diagnostic,yes
ATEIKU HEALTH CENTRE,Western Region,Health Centre,overnment,ATEIKU,General,yes
ATEIKU HEALTH CENTRE,,Health Centre,overnment,,General,yes
ATLANTIC CHEMICALS,Western Region,Pharmacy,rivate,PLOT B4 EAST CHAPEL HILL  LEBERATION ROAD  P.O. BOX MC 330  TAKORADI,Pharmacy,yes
ATOBIASE COMMUNITY CLINIC,Western Region,Health Centre,overnment,ATOBIASE,General,yes
ATOBIASE COMMUNITY CLINIC,,Health Centre,overnment,,General,yes
ATOBRAKROM CHPS COMPOUND,Western Region,CHPS Compound,overnment,OFF SURESO STREET  P.O.BOX 112-ASANKRAGWA,General,yes
ATRONSU CHPS COMPOUND,Western Region,CHPS Compound,overnment,P.O.BOX 108  SEFWI ATRONSU,General,yes
AUGUSTINE NIMFA VENTURES,Western Region,Chemical Shop,rivate,ENCHI MAIN STREET  P.O.BOX 87  ENCHI,Pharmacy,yes
AWURADE NTI MATERNITY HOME,Western Region,Maternity Home,rivate,NEW ADAMSU IN PAMPEMAMASE C/O PMB GHS ESSAM,Antenatal  Post-natal,yes
AXIM GOVERNMENT HOSPITAL,Western Region,Primary Hospital,overnment,BOKAZO  P.O. BOX 2 AXIM,General,yes
AZANTISCAN DIAGNOSTIC SERVICES,Western Region,Diagnostic Centre,rivate,NO. 6 OPPOSITE ANGLICAN PARK NEW TOWN  P.O. BOX AX 420  TAKORADI,Diagnostic,yes
BAMIANKOR HEALTH CENTRE,Western Region,Health Centre,overnment,BAMIAKOR  BOX 19  AXIM,General,yes
BASE MEDICAL LABORATORY,Western Region,Laboratory,rivate,A/R PORT RIDGE  KWESOMINTSIM ROAD  P.O. BOX 0635 M/C TAKORADI,Laboratory,yes
BASSENGELE CHPS COMPOUND,Western Region,CHPS Compound,overnment,P.O.BOX 108  SEFWI BASSENGELE,General,yes
BAWDIE CHPS,Western Region,CHPS Compound,overnment,BAWDIE  BOX 51  WASSA AKROPONG,General,yes
BECHIWA CHPS COMPOUND,,CHPS Compound,overnment,BECHIWA  BOX 7,General,yes
BENEDICT HOSPITAL,Western Region,Primary Hospital,rivate,OPPOSITE SEKONDI SCHOOL,General,yes
BENEDICTUS LABORATORY SERVICES,,Laboratory,rivate,NSUAEM MEDICAL CENTRE  C/O BOX 11,Laboratory,yes
BENJIRO CHEMICAL SHOP,Western Region,Chemical Shop,rivate,DADIESO MAIN STREET OPP. LORRY STATION  C/O POSTAL AGENT  SUAME-DADIESO,Pharmacy,yes
BENYARK BEKERECH MEDICAL LABORATORY SERVICES,,Laboratory,rivate,BADU BONSU RD  M.C 1015 TAKORADI,Laboratory,yes
BEPOASE CHPS ZONE,Western Region,CHPS Compound,overnment,BEPOASE  BOX 5 JUABOSO,General,yes
BETHLEHEM CHPS COMPOUND,Western Region,CHPS Compound,overnment,P.O.BOX 108  SEFWI BETHLEHEM,General,yes
BIBIANI DISTRICT HOSPITAL,Western Region,primary hospital,overnment,OPP. NEW LORRY PARK  P.O.BOX 108  BIBIANI,General,yes
BISAASO HEALTH CENTER,Western Region,Health Centre,overnment,MUMUNI ROAD P.O.BOX 112  ASANKRANGWA,General,yes
BISHOP ANGLONBY MEMORIAL CLINIC,Western Region,Health Centre,ission,ST JOHN STREET  C/O ANG.DIOCESE OF WIAWSO  BOX 4  S/WIAWSO,General,yes
BLUE DIAMOND PHARMACY,Western Region,Pharmacy,rivate,H/NO 38 KWEIKUMA  OPP.GOV SECRETARIAT  P.O.BOX SC4 0  SECONDI,Pharmacy,yes
BOAKO CHPS ZONE,Western Region,CHPS Compound,overnment,SEFWI BOAKO  P.O. BOX 7  SEFWI WIAWSO,General,yes
BOEKROM CHPS,,CHPS Compound,overnment,BOEKROM  BOX 7,General,yes
BOINSO HEALTH CENTRE,,Health Centre,overnment,BOINSO  ALONG ENCHI ASEMKROM ROAD  C/O BOX 66 ENCHI GOVT HOSPITAL,General,yes
BOINZAN ANGLICAN CLINIC,Western Region,Health Centre,ission,BOINZAN P.O. BOX 104 SEFWI BOINZAN,General,yes
BOKAKORE CHPS COMPOUND,Western Region,CHPS Compound,overnment,BOKAKORE-ASANKRABREMAN STREETP.O.BOX BOX 112  ASANKRAGWA,General,yes
BOMPIESO CHPS COMPOUND,Western Region,CHPS Compound,overnment,BOMPIESO,General,yes
BONDAYE CHPS COMPOUND,,CHPS Compound,overnment,BONDAYE  BOX 45,General,yes
BONSIE CHPS,Western Region,CHPS Compound,overnment,BONSIE  C/o Ghana Health service  P O Box 112 Asankrangwa,General,yes
BONSIE CHPS,,CHPS Compound,overnment,,General,yes
BONSU-NKWANTA HEALTH CENTRE,Western Region,Health Centre,overnment,BONSU NKWANTA  ADANASE  P.O. BOX 5 JUABOSO,General,yes
BONUAMA CHPS COMPOUND,Western Region,CHPS Compound,overnment,ANYINABREM ROAD  P.O.BOX 112  ASANKRAGWA,General,yes
BOSOMOISO CHPS COMPOUND,,CHPS Compound,overnment,BOSOMOISO  BOX 7,General,yes
BREBRE CLINIC,,Clinic,rivate,BREBRE NEAR SEFWI DEBISO,General,yes
BREMAN  HEALTH CENTRE,Western Region,Health Centre,overnment,Asankra Bremang C/o Ghana Health service  P O Box 112 Asankrangwa,General,yes
BREMAN  HEALTH CENTRE,,Health Centre,overnment,,General,yes
BRITE LIFE CLINIC,,Clinic,rivate,OFF PORTER'S J.H.S  P. O. BOX AX 1989 TAKORADI,General,yes
BRITE LIFE MATERNITY HOME,Western Region,Maternity Home,rivate,P.O.BOX AX 1989  TAKORADI,Antenatal  Post-natal,yes
BUTRE CHPS COMPOUD,,CHPS Compound,overnment,BUTRE  BOX 49,General,yes
CAMP 15 CHPS COMPOUND,Western Region,CHPS Compound,overnment,CAMP 15  C/O DHA  ESSAM,General,yes
CASHIERKROM CHPS ZONE,Western Region,CHPS Compound,overnment,cashierkrom,General,yes
CASHIERKROM CHPS ZONE,,CHPS Compound,overnment,,General,yes
CHIRANO HEALTH CENTRE,Western Region,Health Centre,overnment,BOX 108-BIBIANI,General,yes
CHORICHORI CHPS COMPOUND,Western Region,CHPS Compound,overnment,BOX 7  SEFWI AKONTOMBRA,General,yes
CHRISTINA ADCOCK & SONS CHRISTIAN HOSPITAL  ATEIKU,Western Region,primary hospital,rivate,ATEIKU,general services  scan  ECG services  antenatal  pharmacy  laboratory  pediatrics  surgery,yes
CHURCH OF PENTECOST CLINIC,Western Region,Clinic,ission,Tarkwa,General,yes
CHURCH OF PENTECOST CLINIC,,Clinic,ission,,General,yes
CHURCH OF PENTECOST CLINIC YAWMATWA,Western Region,Clinic,ission,CHURCH OF PENTECOST Clinic  SEFWI-YAWMATWA,General,yes
CITILAB MEDICAL DIAGNOSTIC SERVICES,Western Region,Diagnostic Centre,rivate,KENROSIS HOUSE  NAR ARVO HOTEL  OPP. WWBANK LTD  P.O.BOX MC 0645  TAKORADI,Diagnostic,yes
CLOVERLEAF CLINIC LTD  DENTAL PRACTICE,Western Region,dental clinic,rivate,Takoradi,general services         dental  ,no
CONERSTONE CLINIC,Western Region,Diagnostic Centre,rivate,ANAJI,Diagnostic,yes
CONERSTONE ULTRASOUND,,Diagnostic Centre,rivate,,Diagnostic,yes
CORNERSTONE SPECIALIST CLINIC,Western Region,clinic,rivate,Anaji  Takoradi,General services  scan,yes
CRYSTAL HOUR ENT,Western Region,Chemical Shop,rivate,MAIN STREET ENOSI  P.O.BOX 73  HALF-ASSINI,Pharmacy,yes
DABOASE HEALTH CENTER,Western Region,Health Centre,overnment,DABOASE,General,yes
DABOASE HEALTH CENTER,,Health Centre,overnment,,General,yes
DADIESO HEALTH CENTER,,Health Centre,overnment,DADIESO  BOX 1,General,yes
DAMANG CHPS COMPOUND,Western Region,CHPS Compound,overnment,DAMANG BOX 45  DAMANG,General,yes
DANALIZABET CHEMIST,Western Region,Pharmacy,rivate,MARKET CIRCLE OPP LIBERATION ROAD P.O.BOX MC177 TAKORADI,Pharmacy,yes
DANMANG CHPS ZONE,Western Region,CHPS Compound,overnment,DARMANG  BOX 51 WASSA AKROPONG,General,yes
DANVIC CLINIC,Western Region,Clinic,rivate,145WBLOCK NEW JOHN SARBAH ROAD  P.O.BOX MC 583  TAKORADI,General,yes
DAVID SAGOE MEDICAL LAB &CLINIC;,Western Region,Diagnostic Centre,rivate,OPPOSITE FIJAI Health Centre  P.O. BOX 32 SHAMA,Diagnostic,yes
DAVID SAGOE MEDICAL LAB &CLINIC;,Western Region,Clinic,rivate,MRS. ASAMOAH'S HOUSE  OPP FIJAI Health Centre  P.O. BOX 32  FIJAI,General,yes
DAVID SAGOE MEDICAL LABORATORY  FIJAI ANNEX,Western Region,Laboratory,rivate,ANAJI  P.O.BOX 32  SHAMA,Laboratory,yes
DAVID SAGOE MEDICAL LABORATORY  KOJOKROM ANNEX,Western Region,Laboratory,rivate,ENOE ROAD/ KOJOKROM P.O. BOX 32 SHAMA,Laboratory,yes
DAVID SAGOE MEDICAL LABORATORY ANAJI ANNEX,Western Region,Laboratory,rivate,ANAJI  P.O.BOX 32  SHAMA,Laboratory,yes
DAVID SAGOE MEDICAL LABORATORY ANAJI ANNEX,,Laboratory,rivate,,Laboratory,yes
DAVID SAGOE MEDICAL LABORATORY APOWA ANNEX,Western Region,Laboratory,rivate,ADJACENT APOWA GOVT Clinic  P.O. BOX 32 SHAMA,Laboratory,yes
DAWURAMPONG CHPS ZONE,Western Region,CHPS Compound,overnment,DAWURAMPONG BOX 51  WASSA AKROPONG,General,yes
DAY BY DAY PHARMACY SHOP,Western Region,Pharmacy,rivate,4/1 KITSON AVENUE OPP. TOTAL FILLING STATION  BOX MC 707 TAKORADI,Pharmacy,yes
DIABENE CHPS COMPOUND,Western Region,CHPS Compound,overnment,C/O BOX 187 GHS SEKONDI,General,yes
DIKOTO JUNCTION CHPS,Western Region,CHPS Compound,overnment,DOKOTO JUNCTION  BOX 51 WASSA AKROPONG,General,yes
DIVINE LOVE HOSPITAL,Western Region,primary hospital,rivate,BIBIANI-HWENONOMPORI  BOX KS322 KUMASI,General,yes
DJORBOAH CHPS COMPOUND,Western Region,CHPS Compound,overnment,DJORBOAH  BOX 51  WASSA AKROPONG,General,yes
DOHAMM CLINIC,Western Region,Clinic,rivate,NO PT EA/4 ANAJI  P.O. BOX MC 1702 TAKORADI,General,yes
DOMEABRA CHPS,Western Region,CHPS Compound,overnment,BOX 51 WASSA AKROPONG,General,yes
DOMINIBO CHPS COMPOUND,Western Region,CHPS Compound,overnment,BOX 108-BIBIANI,General,yes
DOMPIM NO 1 COMM. CLINIC,Western Region,Health Centre,overnment,DOMPIM NO.1,General,yes
DOMPIM NO 1 COMM. CLINIC,,Health Centre,overnment,,General,yes
DORMAMA CHPS COMPOUND,Western Region,CHPS Compound,overnment,DOMAMA,General,yes
